P    1 | fork 80 (80)
P    2 | ld 0 r16
P    1 | live 0
P    2 | zjmp 462 OK
P    2 | live 0
P    2 | ld 190055943 r10
P    2 | ld 84476405 r11
P    1 | fork 82 (90)
P    3 | ld 0 r16
P    1 | ld 251658255 r2
P    1 | ld 1 r12
P    1 | ld 40 r11
P    1 | st r1 11
P    3 | zjmp 395 OK
P    1 | st r16 -4
P    3 | live 0
P    2 | fork 41 (609)
P    1 | live -1
P    3 | ld 190055943 r10
P    2 | ld 190055172 r3
P    1 | st r16 -300
P    4 | live 0
P    3 | ld 84476405 r11
P    2 | ld 190055172 r6
P    1 | st r2 -301
P    4 | ld 84475923 r3
P    3 | ld 150994956 r3
P    2 | ld 507 r7
P    1 | st r2 -302
P    4 | ld 84475923 r6
P    3 | ld 150994956 r6
P    2 | ld 24 r4
P    4 | ld 511 r7
P    3 | ld 26 r7
P    2 | ld 0 r5
P    1 | sub r11 r12 r11
P    4 | ld 28 r4
P    3 | ld 495 r4
P    4 | ld 0 r5
P    3 | ld 0 r5
P    2 | zjmp 46 OK
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    4 | zjmp 3 OK
P    3 | zjmp 106 OK
P    2 | live 0
P    2 | st r10 511
P    4 | live 0
P    3 | live 0
P    2 | st r11 510
P    4 | st r10 511
P    3 | st r10 511
P    1 | zjmp -35 OK
P    4 | st r11 510
P    3 | st r11 510
P    1 | live -1
P    2 | zjmp 501 OK
P    1 | st r16 -300
P    1 | st r2 -301
P    4 | zjmp 501 OK
P    3 | zjmp 501 OK
P    1 | st r2 -302
P    1 | sub r11 r12 r11
P    2 | sti r6 507 0
P    4 | sti r6 511 0
P    3 | sti r6 26 0
P    1 | zjmp 33 FAILED
P    2 | zjmp 501 OK
P    1 | ld 0 r16
P    4 | zjmp 501 OK
P    3 | zjmp 501 OK
P    1 | zjmp -35 OK
P    2 | sti r3 24 0
P    1 | live -1
P    1 | st r16 -300
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | st r2 -301
P    1 | st r2 -302
P    2 | zjmp 19 OK
P    1 | sub r11 r12 r11
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    2 | sti r3 24 0
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    2 | zjmp 19 OK
P    1 | zjmp -35 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | live -1
P    1 | st r16 -300
P    2 | sti r3 24 0
P    1 | st r2 -301
P    1 | st r2 -302
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | sub r11 r12 r11
P    2 | zjmp 19 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    2 | sti r3 24 0
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | zjmp -35 OK
P    2 | zjmp 19 OK
P    1 | live -1
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | st r16 -300
P    1 | st r2 -301
P    1 | st r2 -302
P    2 | sti r3 24 0
P    1 | sub r11 r12 r11
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    2 | zjmp 19 OK
P    1 | zjmp 33 FAILED
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | ld 0 r16
P    2 | sti r3 24 0
P    1 | zjmp -35 OK
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | live -1
P    2 | zjmp 19 OK
P    1 | st r16 -300
P    1 | st r2 -301
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | st r2 -302
P    1 | sub r11 r12 r11
P    2 | sti r3 24 0
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | zjmp 33 FAILED
P    2 | zjmp 19 OK
P    1 | ld 0 r16
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp -35 OK
P    2 | sti r3 24 0
P    1 | live -1
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | st r16 -300
P    1 | st r2 -301
P    2 | zjmp 19 OK
P    1 | st r2 -302
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | sub r11 r12 r11
P    2 | sti r3 24 0
P    1 | zjmp 33 FAILED
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | ld 0 r16
P    2 | zjmp 19 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp -35 OK
P    1 | live -1
P    2 | sti r3 24 0
P    1 | st r16 -300
P    1 | st r2 -301
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | st r2 -302
P    2 | zjmp 19 OK
P    1 | sub r11 r12 r11
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp 33 FAILED
P    2 | sti r3 24 0
P    1 | ld 0 r16
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    2 | zjmp 19 OK
P    1 | zjmp -35 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | live -1
P    1 | st r16 -300
P    1 | st r2 -301
P    2 | sti r3 24 0
P    1 | st r2 -302
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | sub r11 r12 r11
P    2 | zjmp 19 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    2 | sti r3 24 0
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | zjmp -35 OK
P    2 | zjmp 19 OK
P    1 | live -1
P    1 | st r16 -300
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | st r2 -301
P    1 | st r2 -302
P    2 | sti r3 24 0
P    1 | sub r11 r12 r11
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    2 | zjmp 19 OK
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    2 | sti r3 24 0
P    1 | zjmp -35 OK
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | live -1
P    1 | st r16 -300
P    2 | zjmp 19 OK
P    1 | st r2 -301
P    1 | st r2 -302
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | sub r11 r12 r11
P    2 | sti r3 24 0
P    4 | sti r3 28 0
P    3 | sti r3 495 0
P    1 | zjmp 33 FAILED
P    1 | ld 0 r16
P    2 | zjmp 19 OK
P    4 | zjmp 19 OK
P    3 | zjmp 19 OK
P    1 | zjmp -35 OK
P    2 | sti r3 24 0
P    1 | live -1
P    1 | st r16 -300
